Sample,Library,Sample.category,Tissue.category,useForWGCNA,SampleID,Region,DevStage
"Urothelial Cells, donor2",CNhs12091.11600.120H7,primary cells,,NA,NA,,
"Urothelial Cells, donor3",CNhs12122.11681.122H7,primary cells,,NA,NA,,
"Whole blood (ribopure), donor090309, donation1",CNhs11675.12179.129A1,primary cells,,NA,NA,,
"Whole blood (ribopure), donor090309, donation2",CNhs11671.12180.129A2,primary cells,,NA,NA,,
"Whole blood (ribopure), donor090309, donation3",CNhs11948.12181.129A3,primary cells,,NA,NA,,
"Whole blood (ribopure), donor090325, donation1",CNhs11075.12176.128I7,primary cells,,NA,NA,,
"Whole blood (ribopure), donor090325, donation2",CNhs11076.12177.128I8,primary cells,,NA,NA,,
"Whole blood (ribopure), donor090612, donation1",CNhs11672.12182.129A4,primary cells,,NA,NA,,
"Whole blood (ribopure), donor090612, donation2",CNhs11673.12183.129A5,primary cells,,NA,NA,,
"Whole blood (ribopure), donor090612, donation3",CNhs11949.12184.129A6,primary cells,,NA,NA,,
"Astrocyte - cerebellum, donor1",CNhs11321.11500.119F6,primary cells,brain_pcells,NA,NA,,
"Astrocyte - cerebellum, donor2",CNhs12081.11580.120F5,primary cells,brain_pcells,NA,NA,,
"Astrocyte - cerebellum, donor3",CNhs12117.11661.122F5,primary cells,brain_pcells,NA,NA,,
"Astrocyte - cerebral cortex, donor1",CNhs10864.11235.116D2,primary cells,brain_pcells,NA,NA,,
"Astrocyte - cerebral cortex, donor2",CNhs11960.11316.117D2,primary cells,brain_pcells,NA,NA,,
"Astrocyte - cerebral cortex, donor3",CNhs12005.11392.118C6,primary cells,brain_pcells,NA,NA,,
"CD14+ monocyte derived endothelial progenitor cells, donor1",CNhs10858.11229.116C5,primary cells,,NA,NA,,
"CD14+ monocyte derived endothelial progenitor cells, donor2",CNhs11897.11310.117C5,primary cells,,NA,NA,,
"CD14+ monocyte derived endothelial progenitor cells, donor3",CNhs11904.11386.118B9,primary cells,,NA,NA,,
"CD14+ monocytes - mock treated, donor1",CNhs13468.11863.125A9,primary cells,,NA,NA,,
"CD14+ monocytes - mock treated, donor2",CNhs13484.11873.125C1,primary cells,,NA,NA,,
"CD14+ monocytes - mock treated, donor3",CNhs13491.11883.125D2,primary cells,,NA,NA,,
"CD14+ monocytes - treated with B-glucan, donor1",CNhs13474.11869.125B6,primary cells,,NA,NA,,
"CD14+ monocytes - treated with B-glucan, donor2",CNhs13489.11879.125C7,primary cells,,NA,NA,,
"CD14+ monocytes - treated with B-glucan, donor3",CNhs13495.11889.125D8,primary cells,,NA,NA,,
"CD14+ monocytes - treated with BCG, donor1",CNhs13465.11860.125A6,primary cells,,NA,NA,,
"CD14+ monocytes - treated with BCG, donor2",CNhs13475.11870.125B7,primary cells,,NA,NA,,
"CD14+ monocytes - treated with BCG, donor3",CNhs13543.11880.125C8,primary cells,,NA,NA,,
"CD14+ monocytes - treated with Candida, donor1",CNhs13473.11868.125B5,primary cells,,NA,NA,,
"CD14+ monocytes - treated with Candida, donor2",CNhs13488.11878.125C6,primary cells,,NA,NA,,
"CD14+ monocytes - treated with Candida, donor3",CNhs13494.11888.125D7,primary cells,,NA,NA,,
"CD14+ monocytes - treated with Cryptococcus, donor1",CNhs13472.11867.125B4,primary cells,,NA,NA,,
"CD14+ monocytes - treated with Cryptococcus, donor2",CNhs13487.11877.125C5,primary cells,,NA,NA,,
"CD14+ monocytes - treated with Cryptococcus, donor3",CNhs13546.11887.125D6,primary cells,,NA,NA,,
"CD14+ monocytes - treated with Group A streptococci, donor1",CNhs13469.11864.125B1,primary cells,,NA,NA,,
"CD14+ monocytes - treated with Group A streptococci, donor2",CNhs13532.11874.125C2,primary cells,,NA,NA,,
"CD14+ monocytes - treated with Group A streptococci, donor3",CNhs13492.11884.125D3,primary cells,,NA,NA,,
"CD14+ monocytes - treated with IFN + N-hexane, donor1",CNhs13466.11861.125A7,primary cells,,NA,NA,,
"CD14+ monocytes - treated with IFN + N-hexane, donor2",CNhs13476.11871.125B8,primary cells,,NA,NA,,
"CD14+ monocytes - treated with IFN + N-hexane, donor3",CNhs13490.11881.125C9,primary cells,,NA,NA,,
"CD14+ monocytes - treated with lipopolysaccharide, donor1",CNhs13470.11865.125B2,primary cells,,NA,NA,,
"CD14+ monocytes - treated with lipopolysaccharide, donor2",CNhs13533.11875.125C3,primary cells,,NA,NA,,
"CD14+ monocytes - treated with lipopolysaccharide, donor3",CNhs13545.11885.125D4,primary cells,,NA,NA,,
"CD14+ monocytes - treated with Salmonella, donor1",CNhs13471.11866.125B3,primary cells,,NA,NA,,
"CD14+ monocytes - treated with Salmonella, donor2",CNhs13485.11876.125C4,primary cells,,NA,NA,,
"CD14+ monocytes - treated with Salmonella, donor3",CNhs13493.11886.125D5,primary cells,,NA,NA,,
"CD14+ monocytes - treated with Trehalose dimycolate (TDM), donor1",CNhs13467.11862.125A8,primary cells,,NA,NA,,
"CD14+ monocytes - treated with Trehalose dimycolate (TDM), donor2",CNhs13483.11872.125B9,primary cells,,NA,NA,,
"CD14+ monocytes - treated with Trehalose dimycolate (TDM), donor3",CNhs13544.11882.125D1,primary cells,,NA,NA,,
"CD14+ Monocytes, donor1",CNhs10852.11224.116B9,primary cells,,NA,NA,,
"CD14+ Monocytes, donor2",CNhs11954.11305.117B9,primary cells,,NA,NA,,
"CD14+ Monocytes, donor3",CNhs11997.11381.118B4,primary cells,,NA,NA,,
"CD14+CD16- Monocytes, donor1",CNhs13224.11788.124B6,primary cells,,NA,NA,,
"CD14+CD16- Monocytes, donor2",CNhs13216.11799.124C8,primary cells,,NA,NA,,
"CD14+CD16- Monocytes, donor3",CNhs13540.11910.125G2,primary cells,,NA,NA,,
"CD14+CD16+ Monocytes, donor1",CNhs13541.11789.124B7,primary cells,,NA,NA,,
"CD14+CD16+ Monocytes, donor2",CNhs13208.11801.124D1,primary cells,,NA,NA,,
"Fibroblast - Aortic Adventitial, donor2 (nuclear fraction)",CNhs12581.14332.155F3,fractionations and perturbations,,NA,NA,,
"Fibroblast - Aortic Adventitial, donor3 (nuclear fraction)",CNhs12400.14311.155C9,fractionations and perturbations,,NA,NA,,
"Fibroblast - skin dystrophia myotonica, donor1 (nuclear fraction)",CNhs12405.14329.155E9,fractionations and perturbations,,NA,NA,,
"Fibroblast - skin dystrophia myotonica, donor3 (nuclear fraction)",CNhs12399.14308.155C6,fractionations and perturbations,,NA,NA,,
"Fibroblast - skin normal, donor1 (nuclear fraction)",CNhs12403.14323.155E3,fractionations and perturbations,,NA,NA,,
"Fibroblast - skin normal, donor2 (nuclear fraction)",CNhs12582.14302.155B9,fractionations and perturbations,,NA,NA,,
"Fibroblast - skin spinal muscular atrophy, donor1 (nuclear fraction)",CNhs12404.14326.155E6,fractionations and perturbations,,NA,NA,,
"Fibroblast - skin spinal muscular atrophy, donor3 (nuclear fraction)",CNhs12398.14305.155C3,fractionations and perturbations,,NA,NA,,
"Preadipocyte - breast, donor2 (nuclear fraction)",CNhs12584.14320.155D9,fractionations and perturbations,,NA,NA,,
"Small Airway Epithelial Cells, donor3 (nuclear fraction)",CNhs12583.14317.155D6,fractionations and perturbations,,NA,NA,,
"Smooth Muscle Cells - Aortic, donor0 (cytoplasmic fraction)",CNhs12401.14313.155D2,fractionations and perturbations,,NA,NA,,
"Smooth Muscle Cells - Aortic, donor0 (nuclear fraction)",CNhs12402.14314.155D3,fractionations and perturbations,,NA,NA,,
acantholytic squamous carcinoma cell line:HCC1806,CNhs11844.10717.109I6,cell lines,,NA,NA,,
acute lymphoblastic leukemia (B-ALL) cell line:BALL-1,CNhs11251.10455.106G5,cell lines,,NA,NA,,
acute lymphoblastic leukemia (B-ALL) cell line:NALM-6,CNhs11282.10534.107G3,cell lines,,NA,NA,,
acute lymphoblastic leukemia (T-ALL) cell line:HPB-ALL,CNhs10746.10429.106D6,cell lines,,NA,NA,,
acute lymphoblastic leukemia (T-ALL) cell line:Jurkat,CNhs11253.10464.106H5,cell lines,,NA,NA,,
acute myeloid leukemia (FAB M0) cell line:Kasumi-3,CNhs13241.10789.110H6,cell lines,,NA,NA,,
acute myeloid leukemia (FAB M0) cell line:KG-1,CNhs13053.10827.111C8,cell lines,,NA,NA,,
acute myeloid leukemia (FAB M1) cell line:HYT-1,CNhs13054.10828.111C9,cell lines,,NA,NA,,
acute myeloid leukemia (FAB M2) cell line:Kasumi-1,CNhs13502.10788.110H5,cell lines,,NA,NA,,
acute myeloid leukemia (FAB M2) cell line:Kasumi-6,CNhs13052.10792.110H9,cell lines,,NA,NA,,
acute myeloid leukemia (FAB M2) cell line:NKM-1,CNhs11864.10765.110E9,cell lines,,NA,NA,,
acute myeloid leukemia (FAB M3) cell line:HL60,CNhs13055.10829.111D1,cell lines,,NA,NA,,
acute myeloid leukemia (FAB M4) cell line:FKH-1,CNhs13503.10830.111D2,cell lines,,NA,NA,,
acute myeloid leukemia (FAB M4) cell line:HNT-34,CNhs13504.10831.111D3,cell lines,,NA,NA,,
acute myeloid leukemia (FAB M4eo) cell line:EoL-1,CNhs13056.10832.111D4,cell lines,,NA,NA,,
acute myeloid leukemia (FAB M4eo) cell line:EoL-3,CNhs13057.10833.111D5,cell lines,,NA,NA,,
acute myeloid leukemia (FAB M5) cell line:NOMO-1,CNhs13050.10764.110E8,cell lines,,NA,NA,,
acute myeloid leukemia (FAB M5) cell line:P31/FUJ,CNhs13051.10770.110F5,cell lines,,NA,NA,,
acute myeloid leukemia (FAB M5) cell line:THP-1 (fresh),CNhs10722.10399.106A3,cell lines,,NA,NA,,
acute myeloid leukemia (FAB M5) cell line:THP-1 (revived),CNhs10723.10400.106A4,cell lines,,NA,NA,,
acute myeloid leukemia (FAB M5) cell line:THP-1 (thawed),CNhs10724.10405.106A9,cell lines,,NA,NA,,
acute myeloid leukemia (FAB M5) cell line:U-937 DE-4,CNhs13058.10834.111D6,cell lines,,NA,NA,,
acute myeloid leukemia (FAB M6) cell line:EEB,CNhs13059.10835.111D7,cell lines,,NA,NA,,
acute myeloid leukemia (FAB M6) cell line:F-36E,CNhs13060.10836.111D8,cell lines,,NA,NA,,
acute myeloid leukemia (FAB M6) cell line:F-36P,CNhs13505.10837.111D9,cell lines,,NA,NA,,
acute myeloid leukemia (FAB M7) cell line:M-MOK,CNhs13049.10699.109G6,cell lines,,NA,NA,,
acute myeloid leukemia (FAB M7) cell line:MKPL-1,CNhs11888.10802.111A1,cell lines,,NA,NA,,
adenocarcinoma cell line:IM95m,CNhs11882.10796.110I4,cell lines,,NA,NA,,
adrenal cortex adenocarcinoma cell line:SW-13,CNhs11893.10810.111A9,cell lines,,NA,NA,,
adult T-cell leukemia cell line:ATN-1,CNhs10738.10421.106C7,cell lines,,NA,NA,,
alveolar cell carcinoma cell line:SW 1573,CNhs11838.10708.109H6,cell lines,,NA,NA,,
anaplastic carcinoma cell line:8305C,CNhs10745.10428.106D5,cell lines,,NA,NA,,
anaplastic large cell lymphoma cell line:Ki-JK,CNhs11881.10795.110I3,cell lines,,NA,NA,,
anaplastic squamous cell carcinoma cell line:RPMI 2650,CNhs11889.10805.111A4,cell lines,,NA,NA,,
argyrophil small cell carcinoma cell line:TC-YIK,CNhs11725.10589.108D4,cell lines,,NA,NA,,
astrocytoma cell line:TM-31,CNhs10742.10425.106D2,cell lines,,NA,NA,,
b cell line:RPMI1788,CNhs10744.10427.106D4,cell lines,,NA,NA,,
"B lymphoblastoid cell line: GM12878 ENCODE, biol_rep1",CNhs12331.10821.111C2,cell lines,,NA,NA,,
"B lymphoblastoid cell line: GM12878 ENCODE, biol_rep2",CNhs12332.10822.111C3,cell lines,,NA,NA,,
"B lymphoblastoid cell line: GM12878 ENCODE, biol_rep3",CNhs12333.10823.111C4,cell lines,,NA,NA,,
basal cell carcinoma cell line:TE 354.T,CNhs11932.10702.109G9,cell lines,,NA,NA,,
bile duct carcinoma cell line:HuCCT1,CNhs10750.10432.106D9,cell lines,,NA,NA,,
bile duct carcinoma cell line:TFK-1,CNhs11265.10496.107C1,cell lines,,NA,NA,,
biphenotypic B myelomonocytic leukemia cell line:MV-4-11,CNhs11845.10718.109I7,cell lines,,NA,NA,,
bone marrow stromal cell line:StromaNKtert,CNhs11931.10686.109F2,cell lines,,NA,NA,,
breast carcinoma cell line:MCF7,CNhs11943.10482.107A5,cell lines,,NA,NA,,
breast carcinoma cell line:MDA-MB-453,CNhs10736.10419.106C5,cell lines,,NA,NA,,
bronchial squamous cell carcinoma cell line:KNS-62,CNhs11862.10760.110E4,cell lines,,NA,NA,,
bronchioalveolar carcinoma cell line:NCI-H358,CNhs11840.10709.109H7,cell lines,,NA,NA,,
bronchogenic carcinoma cell line:ChaGo-K-1,CNhs11841.10710.109H8,cell lines,,NA,NA,,
Burkitt's lymphoma cell line:DAUDI,CNhs10739.10422.106C8,cell lines,,NA,NA,,
Burkitt's lymphoma cell line:RAJI,CNhs11268.10476.106I8,cell lines,,NA,NA,,
carcinoid cell line:NCI-H1770,CNhs11834.10703.109H1,cell lines,,NA,NA,,
carcinoid cell line:SK-PN-DW,CNhs11846.10719.109I8,cell lines,,NA,NA,,
carcinosarcoma cell line:JHUCS-1,CNhs11747.10642.109A3,cell lines,,NA,NA,,
cervical cancer cell line:D98-AH2,CNhs11288.10552.107I3,cell lines,,NA,NA,,
cervical cancer cell line:ME-180,CNhs11289.10553.107I4,cell lines,,NA,NA,,
cholangiocellular carcinoma cell line:HuH-28,CNhs11283.10536.107G5,cell lines,,NA,NA,,
choriocarcinoma  cell line:T3M-3,CNhs11820.10618.108G6,cell lines,,NA,NA,,
choriocarcinoma cell line:BeWo,CNhs10740.10423.106C9,cell lines,,NA,NA,,
choriocarcinoma cell line:SCH,CNhs11875.10785.110H2,cell lines,,NA,NA,,
chronic lymphocytic leukemia (T-CLL) cell line:SKW-3,CNhs11714.10416.106C2,cell lines,,NA,NA,,
chronic myeloblastic leukemia (CML) cell line:KCL-22,CNhs11886.10801.110I9,cell lines,,NA,NA,,
chronic myelogenous leukemia (CML) cell line:MEG-A2,CNhs11865.10766.110F1,cell lines,,NA,NA,,
chronic myelogenous leukemia cell line:K562,CNhs11250.10454.106G4,cell lines,,NA,NA,,
"chronic myelogenous leukemia cell line:K562 ENCODE, biol_rep1",CNhs12334.10824.111C5,cell lines,,NA,NA,,
"chronic myelogenous leukemia cell line:K562 ENCODE, biol_rep2",CNhs12335.10825.111C6,cell lines,,NA,NA,,
"chronic myelogenous leukemia cell line:K562 ENCODE, biol_rep3",CNhs12336.10826.111C7,cell lines,,NA,NA,,
chronic myelogenous leukemia cell line:KU812,CNhs10727.10409.106B4,cell lines,,NA,NA,,
clear cell carcinoma cell line:JHOC-5,CNhs11745.10638.108I8,cell lines,,NA,NA,,
clear cell carcinoma cell line:TEN,CNhs11930.10636.108I6,cell lines,,NA,NA,,
colon carcinoma cell line:CACO-2,CNhs11280.10513.107D9,cell lines,,NA,NA,,
colon carcinoma cell line:COLO-320,CNhs10737.10420.106C6,cell lines,,NA,NA,,
cord blood derived cell line:COBL-a 24h infection,CNhs11050.10453.106G3,cell lines,,NA,NA,,
cord blood derived cell line:COBL-a 24h infection(-C),CNhs11049.10452.106G2,cell lines,,NA,NA,,
cord blood derived cell line:COBL-a untreated,CNhs11045.10449.106F8,cell lines,,NA,NA,,
diffuse large B-cell lymphoma cell line:CTB-1,CNhs11741.10631.108I1,cell lines,,NA,NA,,
ductal cell carcinoma cell line:KLM-1,CNhs11100.10438.106E6,cell lines,,NA,NA,,
ductal cell carcinoma cell line:MIA Paca2,CNhs11259.10488.107B2,cell lines,,NA,NA,,
"embryonic kidney cell line: HEK293/SLAM infection, 24hr",CNhs11047.10451.106G1,cell lines,,NA,NA,,
embryonic kidney cell line: HEK293/SLAM untreated,CNhs11046.10450.106F9,cell lines,,NA,NA,,
embryonic pancreas cell line:1B2C6,CNhs11731.10604.108F1,cell lines,,NA,NA,,
embryonic pancreas cell line:1C3D3,CNhs11732.10605.108F2,cell lines,,NA,NA,,
embryonic pancreas cell line:1C3IKEI,CNhs11733.10606.108F3,cell lines,,NA,NA,,
embryonic pancreas cell line:2C6,CNhs11814.10603.108E9,cell lines,,NA,NA,,
endometrial carcinoma cell line:OMC-2,CNhs11266.10497.107C2,cell lines,,NA,NA,,
endometrial stromal sarcoma cell line:OMC-9,CNhs11249.10448.106F7,cell lines,,NA,NA,,
endometrioid adenocarcinoma cell line:JHUEM-1,CNhs11748.10643.109A4,cell lines,,NA,NA,,
epidermoid carcinoma  cell line:A431,CNhs10743.10426.106D3,cell lines,,NA,NA,,
epidermoid carcinoma cell line:Ca Ski,CNhs10748.10431.106D8,cell lines,,NA,NA,,
epithelioid sarcoma cell line:HS-ES-1,CNhs11247.10443.106F2,cell lines,,NA,NA,,
"epitheloid carcinoma cell line: HelaS3 ENCODE, biol_rep1",CNhs12325.10815.111B5,cell lines,,NA,NA,,
"epitheloid carcinoma cell line: HelaS3 ENCODE, biol_rep2",CNhs12326.10816.111B6,cell lines,,NA,NA,,
"epitheloid carcinoma cell line: HelaS3 ENCODE, biol_rep3",CNhs12327.10817.111B7,cell lines,,NA,NA,,
Ewing's sarcoma cell line:Hs 863.T,CNhs11836.10705.109H3,cell lines,,NA,NA,,
extraskeletal myxoid chondrosarcoma cell line:H-EMC-SS,CNhs10728.10410.106B5,cell lines,,NA,NA,,
fibrosarcoma cell line:HT-1080,CNhs11860.10758.110E2,cell lines,,NA,NA,,
fibrous histiocytoma cell line:GCT TIB-223,CNhs11842.10711.109H9,cell lines,,NA,NA,,
gall bladder carcinoma cell line:TGBC14TKB,CNhs11256.10470.106I2,cell lines,,NA,NA,,
gall bladder carcinoma cell line:TGBC2TKB,CNhs10733.10415.106C1,cell lines,,NA,NA,,
gastric adenocarcinoma cell line:MKN1,CNhs11737.10614.108G2,cell lines,,NA,NA,,
gastric adenocarcinoma cell line:MKN45,CNhs11819.10612.108F9,cell lines,,NA,NA,,
gastric cancer cell line:AZ521,CNhs11286.10549.107H9,cell lines,,NA,NA,,
gastrointestinal carcinoma cell line:ECC12,CNhs11738.10615.108G3,cell lines,,NA,NA,,
giant cell carcinoma cell line:LU65,CNhs11274.10487.107B1,cell lines,,NA,NA,,
giant cell carcinoma cell line:Lu99B,CNhs10751.10433.106E1,cell lines,,NA,NA,,
glassy cell carcinoma cell line:HOKUG,CNhs11824.10688.109F4,cell lines,,NA,NA,,
glioblastoma cell line:A172,CNhs11185.10444.106F3,cell lines,,NA,NA,,
"glioblastoma cell line:A172, tech_rep2",CNhs11248.10444.106F3,cell lines,,NA,NA,,
glioblastoma cell line:T98G,CNhs11272.10485.107A8,cell lines,,NA,NA,,
glioma cell line:GI-1,CNhs10731.10413.106B8,cell lines,,NA,NA,,
granulosa cell tumor cell line:KGN,CNhs11740.10624.108H3,cell lines,,NA,NA,,
hairy cell leukemia cell line:Mo,CNhs11843.10712.109I1,cell lines,,NA,NA,,
"Hep-2 cells mock treated, biol_rep1",CNhs13479.11898.125E8,cell lines,,NA,NA,,
"Hep-2 cells mock treated, biol_rep2",CNhs13500.11899.125E9,cell lines,,NA,NA,,
"Hep-2 cells mock treated, biol_rep3",CNhs13501.11900.125F1,cell lines,,NA,NA,,
"Hep-2 cells treated with Streptococci strain 5448, biol_rep1",CNhs13477.11890.125D9,cell lines,,NA,NA,,
"Hep-2 cells treated with Streptococci strain 5448, biol_rep2",CNhs13496.11891.125E1,cell lines,,NA,NA,,
"Hep-2 cells treated with Streptococci strain 5448, biol_rep3",CNhs13497.11892.125E2,cell lines,,NA,NA,,
"Hep-2 cells treated with Streptococci strain JRS4, biol_rep1",CNhs13478.11894.125E4,cell lines,,NA,NA,,
"Hep-2 cells treated with Streptococci strain JRS4, biol_rep2",CNhs13498.11895.125E5,cell lines,,NA,NA,,
"Hep-2 cells treated with Streptococci strain JRS4, biol_rep3",CNhs13499.11896.125E6,cell lines,,NA,NA,,
hepatic mesenchymal tumor cell line:LI90,CNhs11868.10778.110G4,cell lines,,NA,NA,,
hepatoblastoma cell line:HuH-6,CNhs11742.10633.108I3,cell lines,,NA,NA,,
"hepatocellular carcinoma cell line: HepG2 ENCODE, biol_rep1",CNhs12328.10818.111B8,cell lines,,NA,NA,,
"hepatocellular carcinoma cell line: HepG2 ENCODE, biol_rep2",CNhs12329.10819.111B9,cell lines,,NA,NA,,
"hepatocellular carcinoma cell line: HepG2 ENCODE, biol_rep3",CNhs12330.10820.111C1,cell lines,,NA,NA,,
hepatoma cell line:Li-7,CNhs11271.10484.107A7,cell lines,,NA,NA,,
hereditary spherocytic anemia cell line:WIL2-NS,CNhs11891.10808.111A7,cell lines,,NA,NA,,
Hodgkin's lymphoma cell line:HD-Mar2,CNhs11715.10435.106E3,cell lines,,NA,NA,,
keratoacanthoma cell line:HKA-1,CNhs11880.10791.110H8,cell lines,,NA,NA,,
large cell lung carcinoma cell line:IA-LM,CNhs11277.10509.107D5,cell lines,,NA,NA,,
large cell lung carcinoma cell line:NCI-H460,CNhs12806.10839.111E2,cell lines,,NA,NA,,
large cell non-keratinizing squamous carcinoma cell line:SKG-II-SF,CNhs11825.10692.109F8,cell lines,,NA,NA,,
leiomyoblastoma  cell line:G-402,CNhs11848.10721.110A1,cell lines,,NA,NA,,
leiomyoma cell line:10964C,CNhs11722.10569.108B2,cell lines,,NA,NA,,
leiomyoma cell line:15242A,CNhs11723.10570.108B3,cell lines,,NA,NA,,
leiomyoma cell line:15425,CNhs11724.10571.108B4,cell lines,,NA,NA,,
lens epithelial cell line:SRA 01/04,CNhs11750.10647.109A8,cell lines,,NA,NA,,
"leukemia, chronic megakaryoblastic  cell line:MEG-01",CNhs11859.10752.110D5,cell lines,,NA,NA,,
liposarcoma  cell line:KMLS-1,CNhs11870.10782.110G8,cell lines,,NA,NA,,
liposarcoma  cell line:SW 872,CNhs11851.10726.110A6,cell lines,,NA,NA,,
lung adenocarcinoma cell line:A549,CNhs11275.10499.107C4,cell lines,,NA,NA,,
lung adenocarcinoma cell line:PC-14,CNhs10726.10408.106B3,cell lines,,NA,NA,,
lymphangiectasia cell line:DS-1,CNhs11852.10727.110A7,cell lines,,NA,NA,,
"lymphoma, malignant, hairy B-cell cell line:MLMA",CNhs11935.10775.110G1,cell lines,,NA,NA,,
malignant trichilemmal cyst cell line:DJM-1,CNhs10730.10412.106B7,cell lines,,NA,NA,,
maxillary sinus tumor cell line:HSQ-89,CNhs10732.10414.106B9,cell lines,,NA,NA,,
medulloblastoma  cell line:D283 Med,CNhs12805.10838.111E1,cell lines,,NA,NA,,
medulloblastoma  cell line:ONS-76,CNhs11861.10759.110E3,cell lines,,NA,NA,,
melanoma cell line:COLO 679,CNhs11281.10514.107E1,cell lines,,NA,NA,,
melanoma cell line:G-361,CNhs11254.10465.106H6,cell lines,,NA,NA,,
meningioma cell line:HKBMM,CNhs11945.10691.109F7,cell lines,,NA,NA,,
merkel cell carcinoma cell line:MKL-1,CNhs12838.10843.111E6,cell lines,,NA,NA,,
merkel cell carcinoma cell line:MS-1,CNhs12839.10844.111E7,cell lines,,NA,NA,,
mesenchymal stem cell line:Hu5/E18,CNhs11718.10568.108B1,cell lines,,NA,NA,,
mesodermal tumor cell line:HIRS-BM,CNhs12191.10696.109G3,cell lines,,NA,NA,,
mesothelioma cell line:ACC-MESO-1,CNhs11263.10493.107B7,cell lines,,NA,NA,,
mesothelioma cell line:ACC-MESO-4,CNhs11264.10494.107B8,cell lines,,NA,NA,,
mesothelioma cell line:Mero-25,CNhs13066.10850.111F4,cell lines,,NA,NA,,
mesothelioma cell line:Mero-41,CNhs13067.10851.111F5,cell lines,,NA,NA,,
mesothelioma cell line:Mero-48a,CNhs13068.10852.111F6,cell lines,,NA,NA,,
mesothelioma cell line:Mero-82,CNhs13069.10853.111F7,cell lines,,NA,NA,,
mesothelioma cell line:Mero-83,CNhs13070.10854.111F8,cell lines,,NA,NA,,
mesothelioma cell line:Mero-84,CNhs13072.10855.111F9,cell lines,,NA,NA,,
mesothelioma cell line:Mero-95,CNhs13073.10856.111G1,cell lines,,NA,NA,,
mesothelioma cell line:NCI-H2052,CNhs13063.10847.111F1,cell lines,,NA,NA,,
mesothelioma cell line:NCI-H226,CNhs13062.10846.111E9,cell lines,,NA,NA,,
mesothelioma cell line:NCI-H2452,CNhs13064.10848.111F2,cell lines,,NA,NA,,
mesothelioma cell line:NCI-H28,CNhs13061.10845.111E8,cell lines,,NA,NA,,
mesothelioma cell line:No36,CNhs13074.10857.111G2,cell lines,,NA,NA,,
mesothelioma cell line:ONE58,CNhs13075.10858.111G3,cell lines,,NA,NA,,
mixed mullerian tumor cell line:HTMMT,CNhs11944.10689.109F5,cell lines,,NA,NA,,
mucinous adenocarcinoma cell line:JHOM-1,CNhs11752.10648.109A9,cell lines,,NA,NA,,
mucinous cystadenocarcinoma  cell line:MCAS,CNhs11873.10784.110H1,cell lines,,NA,NA,,
"mycosis fungoides, T cell lymphoma cell line:HuT 102 TIB-162",CNhs11858.10744.110C6,cell lines,,NA,NA,,
myelodysplastic syndrome cell line:SKM-1,CNhs11934.10772.110F7,cell lines,,NA,NA,,
myeloma cell line:PCM6,CNhs11258.10474.106I6,cell lines,,NA,NA,,
myxofibrosarcoma cell line:MFH-ino,CNhs11729.10600.108E6,cell lines,,NA,NA,,
myxofibrosarcoma cell line:NMFH-1,CNhs11821.10684.109E9,cell lines,,NA,NA,,
neuroblastoma cell line:CHP-134,CNhs11276.10508.107D4,cell lines,,NA,NA,,
neuroblastoma cell line:NB-1,CNhs11284.10539.107G8,cell lines,,NA,NA,,
neuroblastoma cell line:NBsusSR,CNhs11818.10607.108F4,cell lines,,NA,NA,,
neuroblastoma cell line:NH-12,CNhs11811.10555.107I6,cell lines,,NA,NA,,
neuroectodermal tumor  cell line:TASK1,CNhs11866.10774.110F9,cell lines,,NA,NA,,
neuroectodermal tumor cell line:FU-RPNT-1,CNhs11744.10637.108I7,cell lines,,NA,NA,,
neuroectodermal tumor cell line:FU-RPNT-2,CNhs11753.10663.109C6,cell lines,,NA,NA,,
neuroepithelioma cell line:SK-N-MC,CNhs11853.10728.110A8,cell lines,,NA,NA,,
neurofibroma cell line:Hs 53.T,CNhs11854.10729.110A9,cell lines,,NA,NA,,
NK T cell leukemia cell line:KHYG-1,CNhs11867.10777.110G3,cell lines,,NA,NA,,
non T non B acute lymphoblastic leukemia (ALL) cell line:P30/OHK,CNhs10747.10430.106D7,cell lines,,NA,NA,,
non-small cell lung cancer cell line:NCI-H1385,CNhs12193.10730.110B1,cell lines,,NA,NA,,
normal embryonic palatal mesenchymal cell line:HEPM,CNhs11894.10813.111B3,cell lines,,NA,NA,,
normal intestinal epithelial cell line:FHs 74 Int,CNhs11950.10812.111B2,cell lines,,NA,NA,,
oral squamous cell carcinoma cell line:Ca9-22,CNhs10752.10434.106E2,cell lines,,NA,NA,,
oral squamous cell carcinoma cell line:HO-1-u-1,CNhs11287.10550.107I1,cell lines,,NA,NA,,
oral squamous cell carcinoma cell line:HSC-3,CNhs11717.10545.107H5,cell lines,,NA,NA,,
oral squamous cell carcinoma cell line:SAS,CNhs11810.10544.107H4,cell lines,,NA,NA,,
osteoclastoma cell line:Hs 706.T,CNhs11835.10704.109H2,cell lines,,NA,NA,,
osteosarcoma cell line:143B/TK^(-)neo^(R),CNhs11279.10510.107D6,cell lines,,NA,NA,,
osteosarcoma cell line:HS-Os-1,CNhs11290.10558.107I9,cell lines,,NA,NA,,
pagetoid sarcoma cell line:Hs 925.T,CNhs11856.10732.110B3,cell lines,,NA,NA,,
pancreatic carcinoma cell line:NOR-P1,CNhs11832.10698.109G5,cell lines,,NA,NA,,
papillary adenocarcinoma cell line:8505C,CNhs11716.10437.106E5,cell lines,,NA,NA,,
